set_id	term_name	observed_edges	lambda	p_value	log2_Anscombe_ratio	set_size	max_possible_edges
GO:0045098	type III intermediate filament	0	0.000612244897959184	1	-0.00117674988648608	2	1
GO:0045120	pronucleus	0	0	1	0	1	0
GO:0045179	apical cortex	1	0.00275510204081633	0.00275131023026302	0.931954236328328	6	15
GO:0045180	basal cortex	0	0.00107142857142857	1	-0.00205805423611594	4	6
GO:0045242	isocitrate dehydrogenase complex (NAD+)	3	0.00762755102040816	7.33992310695952e-08	1.57043741932916	3	3
GO:0045244	succinate-CoA ligase complex (GDP-forming)	0	0	1	0	1	0
GO:0045251	electron transfer flavoprotein complex	1	0.000510204081632653	0.000509943906170321	0.936253800791427	2	1
GO:0045252	oxoglutarate dehydrogenase complex	12	0.0700255102040816	2.72064263864205e-23	2.3986983384439	8	28
GO:0045253	pyruvate dehydrogenase (lipoamide) phosphatase complex	0	7.6530612244898e-05	1	-0.00014719875991176	2	1
GO:0045254	pyruvate dehydrogenase complex	8	0.0112244897959184	6.18699158233189e-21	2.21928881973731	5	10
GO:0045275	respiratory chain complex III	0	0	1	0	1	0
GO:0045293	mRNA editing complex	1	0.000663265306122449	0.000663045394303887	0.935959833177316	3	3
GO:0046581	intercellular canaliculus	0	0.0039030612244898	1	-0.00746910003611401	5	10
GO:0046691	intracellular canaliculus	0	0.000969387755102041	1	-0.00186230185487546	3	3
GO:0046696	lipopolysaccharide receptor complex	3	0.00349489795918367	7.0960062335055e-09	1.57827087198477	4	6
GO:0046930	pore complex	7	0.0746938775510204	2.41098791164997e-12	2.01781395098717	10	45
GO:0048179	activin receptor complex	1	0.00704081632653061	0.00701608774841004	0.923816466471913	3	3
GO:0048188	Set1C/COMPASS complex	9	0.0169642857142857	3.15810770512847e-22	2.29001228895274	8	28
GO:0048237	rough endoplasmic reticulum lumen	0	0.000688775510204082	1	-0.00132370873805776	2	1
GO:0048269	methionine adenosyltransferase complex	3	0.00244897959183673	2.44197194037816e-09	1.5802669754647	3	3
GO:0048476	Holliday junction resolvase complex	5	0.00854591836734694	3.77154368946331e-13	1.90439677056533	4	6
GO:0048500	signal recognition particle	1	0.000408163265306122	0.000407996736026112	0.936449845777128	2	1
GO:0048788	cytoskeleton of presynaptic active zone	1	0.000102040816326531	0.000102030405060708	0.937038300619098	2	1
GO:0051286	cell tip	0	0.0110204081632653	1	-0.0208932632191435	5	10
GO:0055087	Ski complex	1	0.000255102040816327	0.000255036980362153	0.936744013192519	2	1
GO:0060053	neurofilament cytoskeleton	0	0.000127551020408163	1	-0.000245314581668765	2	1
GO:0060077	inhibitory synapse	1	0.00701530612244898	0.00699075630416227	0.92386463498186	6	15
GO:0060091	kinocilium	0	0.00885204081632653	1	-0.0168298614251037	6	15
GO:0060171	stereocilium membrane	2	0.00875	3.80586737287989e-05	1.31484442892407	4	6
GO:0060201	clathrin-sculpted acetylcholine transport vesicle membrane	1	0.00997448979591837	0.00992490915027866	0.918298432123856	3	3
GO:0060203	clathrin-sculpted glutamate transport vesicle membrane	2	0.00997448979591837	4.94152594051653e-05	1.312546379527	3	3
GO:0060205	cytoplasmic vesicle lumen	0	0.00178571428571429	1	-0.00342683552053125	2	1
GO:0060342	photoreceptor inner segment membrane	1	0.0143622448979592	0.0142595998507155	0.910123357901224	4	6
GO:0060473	cortical granule	0	0.012984693877551	1	-0.0245545715687993	4	6
GO:0061202	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	5	0.0161224489795918	8.95647950248199e-12	1.89028625289576	4	6
GO:0061474	phagolysosome membrane	0	0	1	0	1	0
GO:0061574	ASAP complex	3	0.00357142857142857	7.57201508828801e-09	1.57812503227262	4	6
GO:0061617	MICOS complex	34	0.101811224489796	5.64854838571273e-73	3.08589885249424	9	36
GO:0061673	mitotic spindle astral microtubule	0	0.00209183673469388	1	-0.00401266190934424	3	3
GO:0061689	tricellular tight junction	1	0.000178571428571429	0.000178539546509552	0.93689114189829	2	1
GO:0061696	pituitary gonadotropin complex	2	0.000816326530612245	3.33013208955526e-07	1.32991393271689	3	3
GO:0061700	GATOR2 complex	11	0.0362244897959184	3.41546564824435e-24	2.39489827533665	8	28
GO:0061702	canonical inflammasome complex	25	0.153010204081633	2.30927421809481e-46	2.79334910068028	8	28
GO:0061773	eNoSc complex	1	0.000459183673469388	0.000458972920597685	0.936351816624236	2	1
GO:0061779	Tapasin-ERp57 complex	1	0.00107142857142857	0.00107028184088477	0.935176504721955	2	1
GO:0061851	leading edge of lamellipodium	0	0	1	0	1	0
GO:0061852	retrograde transporter complex, Golgi to ER	1	0.000102040816326531	0.000102030405060708	0.937038300619098	2	1
GO:0061908	phagophore	1	0.000510204081632653	0.000509943906170321	0.936253800791427	2	1
GO:0062073	histone mRNA stem-loop binding complex	1	0.000127551020408163	0.000127534753220253	0.936989244376402	2	1
GO:0062157	mitochondrial ATP-gated potassium channel complex	1	2.55102040816327e-05	2.55095533277212e-05	0.937185489367191	2	1
GO:0062167	complement component C1q complex	3	0.00448979591836735	1.50168436272541e-08	1.57637725172071	3	3
GO:0070021	transforming growth factor beta ligand-receptor complex	0	0	1	0	1	0
GO:0070033	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex	0	0	1	0	1	0
GO:0070044	synaptobrevin 2-SNAP-25-syntaxin-1a complex	0	0	1	0	1	0
GO:0070069	cytochrome complex	1	0.00102040816326531	0.00101936799184506	0.935274374272399	2	1
GO:0070083	clathrin-sculpted monoamine transport vesicle membrane	2	0.0179336734693878	0.000158898600815481	1.29778489987316	4	6
GO:0070110	ciliary neurotrophic factor receptor complex	1	0.00122448979591837	0.00122299225438239	0.934882975716706	2	1
GO:0070187	shelterin complex	16	0.0422448979591837	4.72609382985068e-36	2.64722834395051	7	21
GO:0070195	growth hormone receptor complex	1	0.00229591836734694	0.00229328476151855	0.9328316102704	3	3
GO:0070288	ferritin complex	1	0.000535714285714286	0.000535427449580582	0.936204797868923	2	1
GO:0070310	ATR-ATRIP complex	0	0	1	0	1	0
GO:0070369	beta-catenin-TCF7L2 complex	0	0.00408163265306122	1	-0.00780898040743483	2	1
GO:0070381	endosome to plasma membrane transport vesicle	0	0.00183673469387755	1	-0.00352450629726231	2	1
GO:0070390	transcription export complex 2	3	0.00102040816326531	1.76899809368715e-10	1.58300231603548	3	3
GO:0070418	DNA-dependent protein kinase complex	0	0	1	0	1	0
GO:0070419	nonhomologous end joining complex	6	0.00688775510204082	1.47279524164831e-16	2.03060238745783	4	6
GO:0070436	Grb2-EGFR complex	0	0	1	0	1	0
GO:0070449	elongin complex	0	0	1	0	1	0
GO:0070461	SAGA-type complex	1	0.000306122448979592	0.00030602876670407	0.936645944057646	2	1
GO:0070522	ERCC4-ERCC1 complex	0	0.00612244897959184	1	-0.0116819965327553	2	1
