set1	size1	set2	size2	observed_edges	lambda	p_value	log2_Anscombe_ratio	term_name_1	term_name_2
GO:0006751	7	GO:0051900	5	6	0.0621428571428571	7.58393940149054e-11	1.93312430555559	glutathione catabolic process	regulation of mitochondrial depolarization
GO:0034616	6	GO:0048185	7	6	0.0623469387755102	7.73325755988504e-11	1.93278762059244	response to laminar fluid shear stress	activin binding
GO:0000290	9	GO:0051880	8	6	0.0624489795918367	7.80882704359809e-11	1.93261933702223	deadenylation-dependent decapping of nuclear-transcribed mRNA	G-quadruplex DNA binding
GO:0051918	10	GO:0072378	6	6	0.0624489795918367	7.80882704359809e-11	1.93261933702223	negative regulation of fibrinolysis	blood coagulation, fibrin clot formation
GO:0016556	8	GO:0035515	4	6	0.0624744897959184	7.82781490991315e-11	1.93257727226317	mRNA modification	oxidative RNA demethylase activity
GO:0051538	2	GO:1990229	11	6	0.0624744897959184	7.82781490991315e-11	1.93257727226317	3 iron, 4 sulfur cluster binding	iron-sulfur cluster assembly complex
GO:0001936	4	GO:0030311	5	6	0.0625	7.84684109703002e-11	1.93253520995695	regulation of endothelial cell proliferation	poly-N-acetyllactosamine biosynthetic process
GO:0006101	4	GO:0044572	5	6	0.0625	7.84684109703002e-11	1.93253520995695	citrate metabolic process	[4Fe-4S] cluster assembly
GO:0034380	3	GO:0048261	6	6	0.0625	7.84684109703002e-11	1.93253520995695	high-density lipoprotein particle assembly	negative regulation of receptor-mediated endocytosis
GO:0048170	7	GO:0051388	3	6	0.0625	7.84684109703002e-11	1.93253520995695	positive regulation of long-term neuronal synaptic plasticity	positive regulation of neurotrophin TRK receptor signaling pathway
GO:0006537	4	GO:0014075	6	6	0.0625255102040816	7.86590566639969e-11	1.93249315010326	glutamate biosynthetic process	response to amine
GO:0008611	6	GO:0044721	3	6	0.0626785714285714	7.98110256037784e-11	1.93224084246849	ether lipid biosynthetic process	protein import into peroxisome matrix, substrate release
GO:0010894	5	GO:0042813	12	8	0.2	5.31616113105763e-11	1.93222766464406	negative regulation of steroid biosynthetic process	Wnt receptor activity
GO:0002276	1	GO:0106074	8	6	0.0627551020408163	8.03922023617424e-11	1.93211472173726	basophil activation involved in immune response	aminoacyl-tRNA metabolism involved in translational fidelity
GO:0002161	8	GO:0002276	1	6	0.0627551020408163	8.03922023617424e-11	1.93211472173726	aminoacyl-tRNA editing activity	basophil activation involved in immune response
GO:0061303	8	GO:2000096	5	6	0.0628571428571429	8.11726594637856e-11	1.93194659505652	cornea development in camera-type eye	positive regulation of Wnt signaling pathway, planar cell polarity pathway
GO:0042043	11	GO:0097091	6	6	0.0628571428571429	8.11726594637856e-11	1.93194659505652	neurexin family protein binding	synaptic vesicle clustering
GO:0036502	2	GO:1904153	9	6	0.0628826530612245	8.13687436058079e-11	1.9319045695084	Derlin-1-VIMP complex	negative regulation of retrograde protein transport, ER to cytosol
GO:0006476	7	GO:0009165	6	6	0.0631377551020408	8.33513106401479e-11	1.9314844486343	protein deacetylation	nucleotide biosynthetic process
GO:0060075	11	GO:0086009	13	6	0.063265306122449	8.43575331388416e-11	1.9312744799178	regulation of resting membrane potential	membrane repolarization
GO:0006081	6	GO:0048038	10	6	0.0633673469387755	8.51697541279178e-11	1.93110654893801	aldehyde metabolic process	quinone binding
GO:0000076	8	GO:1900264	7	7	0.132142857142857	1.2436735549688e-10	1.93108947340106	DNA replication checkpoint signaling	positive regulation of DNA-directed DNA polymerase activity
GO:0017146	6	GO:1905665	7	6	0.0636734693877551	8.76454763267773e-11	1.93060299043906	NMDA selective glutamate receptor complex	positive regulation of calcium ion import across plasma membrane
GO:0000050	10	GO:0055129	5	7	0.1325	1.26699888726652e-10	1.93058166097569	urea cycle	L-proline biosynthetic process
GO:0005131	6	GO:0060124	6	6	0.06375	8.82736531976858e-11	1.93047715572083	growth hormone receptor binding	positive regulation of growth hormone secretion
GO:0070244	7	GO:0140288	6	6	0.06375	8.82736531976858e-11	1.93047715572083	negative regulation of thymocyte apoptotic process	GBAF complex
GO:0071028	8	GO:2000772	4	6	0.06375	8.82736531976858e-11	1.93047715572083	nuclear mRNA surveillance	regulation of cellular senescence
GO:0009235	8	GO:0032050	9	6	0.0638010204081633	8.86945108836856e-11	1.93039327810208	cobalamin metabolic process	clathrin heavy chain binding
GO:0032374	6	GO:0060230	4	6	0.0639795918367347	9.01806556008753e-11	1.93009978321918	regulation of cholesterol transport	lipoprotein lipase activator activity
GO:0000214	4	GO:0005655	6	6	0.0639795918367347	9.01806556008753e-11	1.93009978321918	tRNA-intron endonuclease complex	nucleolar ribonuclease P complex
GO:0016015	6	GO:0036305	8	7	0.132857142857143	1.29069604985726e-10	1.93007420578738	morphogen activity	ameloblast differentiation
GO:0071986	6	GO:1903444	4	6	0.0640561224489796	9.08238725877849e-11	1.92997403624415	Ragulator complex	negative regulation of brown fat cell differentiation
GO:0002024	13	GO:0031891	2	6	0.0642857142857143	9.27764213063344e-11	1.92959692678861	diet induced thermogenesis	type 1 vasoactive intestinal polypeptide receptor binding
GO:0002024	13	GO:0031892	2	6	0.0642857142857143	9.27764213063344e-11	1.92959692678861	diet induced thermogenesis	type 2 vasoactive intestinal polypeptide receptor binding
GO:0031891	2	GO:0071880	12	6	0.0642857142857143	9.27764213063344e-11	1.92959692678861	type 1 vasoactive intestinal polypeptide receptor binding	adenylate cyclase-activating adrenergic receptor signaling pathway
GO:0031892	2	GO:0071880	12	6	0.0642857142857143	9.27764213063344e-11	1.92959692678861	type 2 vasoactive intestinal polypeptide receptor binding	adenylate cyclase-activating adrenergic receptor signaling pathway
GO:0150105	6	GO:1903348	9	6	0.0648469387755102	9.76964929355354e-11	1.9286759327891	protein localization to cell-cell junction	positive regulation of bicellular tight junction assembly
GO:0006704	5	GO:0070852	6	6	0.0648979591836735	9.81543085685133e-11	1.92859226434147	glucocorticoid biosynthetic process	cell body fiber
GO:0001401	12	GO:0030322	3	6	0.0649489795918367	9.86139038832001e-11	1.92850860559734	SAM complex	stabilization of membrane potential
GO:0030322	3	GO:0140275	12	6	0.0649489795918367	9.86139038832001e-11	1.92850860559734	stabilization of membrane potential	MIB complex
GO:0009058	11	GO:0071267	2	6	0.065	9.9075284373141e-11	1.92842495655446	biosynthetic process	L-methionine salvage
GO:0009957	2	GO:0097264	10	6	0.065	9.9075284373141e-11	1.92842495655446	epidermal cell fate specification	self proteolysis
GO:0046620	6	GO:0046621	6	6	0.0650510204081633	9.95384555444188e-11	1.92834131721059	regulation of organ growth	negative regulation of organ growth
GO:0004791	6	GO:0070189	4	6	0.0650510204081633	9.95384555444188e-11	1.92834131721059	thioredoxin-disulfide reductase (NADPH) activity	kynurenine metabolic process
GO:0072558	4	GO:0089720	10	6	0.0650510204081633	9.95384555444188e-11	1.92834131721059	NLRP1 inflammasome complex	caspase binding
