set1	size1	set2	size2	observed_edges	lambda	p_value	log2_Anscombe_ratio	term_name_1	term_name_2
GO:0000220	6	GO:0000221	5	26	0.0875510204081633	7.18720355051622e-55	2.91670738835557	vacuolar proton-transporting V-type ATPase, V0 domain	vacuolar proton-transporting V-type ATPase, V1 domain
GO:0006003	5	GO:0030388	5	25	0.0762755102040816	6.8526148108545e-54	2.90662776174864	fructose 2,6-bisphosphate metabolic process	fructose 1,6-bisphosphate metabolic process
GO:0004331	5	GO:0030388	5	25	0.0762755102040816	6.8526148108545e-54	2.90662776174864	fructose-2,6-bisphosphate 2-phosphatase activity	fructose 1,6-bisphosphate metabolic process
GO:0006002	7	GO:0006003	5	25	0.100918367346939	7.35309484961525e-51	2.86827493893731	fructose 6-phosphate metabolic process	fructose 2,6-bisphosphate metabolic process
GO:0004331	5	GO:0006002	7	25	0.100918367346939	7.35309484961525e-51	2.86827493893731	fructose-2,6-bisphosphate 2-phosphatase activity	fructose 6-phosphate metabolic process
GO:0000221	5	GO:0033176	5	22	0.078265306122449	3.76051826360777e-46	2.8126940668036	vacuolar proton-transporting V-type ATPase, V1 domain	proton-transporting V-type ATPase complex
GO:0000813	10	GO:0000814	3	24	0.12	1.14187388733082e-46	2.81091494172236	ESCRT I complex	ESCRT II complex
GO:0000221	5	GO:0016471	6	21	0.0795918367346939	1.50280508299485e-43	2.77760441618327	vacuolar proton-transporting V-type ATPase, V1 domain	vacuolar proton-transporting V-type ATPase complex
GO:0042813	12	GO:0061180	6	31	0.293877551020408	2.98203902718699e-51	2.77586476136579	Wnt receptor activity	mammary gland epithelium development
GO:0003873	4	GO:0030388	5	20	0.0596938775510204	1.27804595252765e-43	2.7753282365039	6-phosphofructo-2-kinase activity	fructose 1,6-bisphosphate metabolic process
GO:0008417	9	GO:0008499	10	30	0.301020408163265	6.42278052422312e-49	2.74483689913521	fucosyltransferase activity	N-acetyl-beta-D-glucosaminide beta-(1,3)-galactosyltransferase activity
GO:0003873	4	GO:0006002	7	20	0.0789795918367347	3.40023420967292e-41	2.74401440247261	6-phosphofructo-2-kinase activity	fructose 6-phosphate metabolic process
GO:0071986	6	GO:1990131	4	24	0.170816326530612	5.17386166831257e-43	2.7404214296467	Ragulator complex	Gtr1-Gtr2 GTPase complex
GO:0016167	5	GO:0030116	4	17	0.0185714285714286	1.02727001911291e-44	2.73212183799234	glial cell-derived neurotrophic factor receptor activity	glial cell-derived neurotrophic factor receptor binding
GO:0042813	12	GO:0070307	8	27	0.248979591836735	3.59075591168209e-45	2.72760815503818	Wnt receptor activity	lens fiber cell development
GO:0000177	12	GO:0000958	2	22	0.137602040816327	8.746336292466e-41	2.72395232486316	cytoplasmic exosome (RNase complex)	mitochondrial mRNA catabolic process
