set_size	observed_edges	count_in_group	min_lambda	set_id_at_min	term_at_min	pval_at_min	log2AR_at_min	max_lambda	set_id_at_max	term_at_max	pval_at_max	log2AR_at_max	lambda_ratio
8	5	16	0.00739795918367347	GO:0015824	proline transport	1.83527535843523e-13	1.9065590128784	0.0749489795918367	GO:0006896	Golgi to vacuole transport	1.8515981541662e-08	1.78921571414344	10.1310344827586
7	4	33	0.00502551020408163	GO:0015180	L-alanine transmembrane transporter activity	2.64705826073039e-11	1.76255742267801	0.0487755102040816	GO:0008395	steroid hydroxylase activity	2.26810684144656e-07	1.68395544720505	9.70558375634518
9	6	13	0.00923469387755102	GO:0050650	chondroitin sulfate proteoglycan biosynthetic process	8.54604491814905e-16	2.02618282302804	0.0870408163265306	GO:0070700	BMP receptor binding	5.60569390116904e-10	1.89316656651477	9.42541436464088
8	10	5	0.00469387755102041	GO:0160063	multi-pass transmembrane protein insertion into ER membrane	1.42462760468812e-30	2.38606539505554	0.0433673469387755	GO:0086064	cell communication by electrical coupling involved in cardiac conduction	6.23370618849285e-21	2.31609863542202	9.2391304347826
7	9	11	0.00469387755102041	GO:0017183	protein histidyl modification to diphthamide	3.03520575896002e-27	2.31295502463002	0.0409183673469388	GO:0036500	ATF6-mediated unfolded protein response	8.54104599339195e-19	2.24722319411	8.71739130434783
8	7	7	0.00778061224489796	GO:0045048	protein insertion into ER membrane	3.40180439038787e-19	2.13402669238306	0.0656122448979592	GO:0016556	mRNA modification	9.80713120782929e-13	2.03253077761463	8.4327868852459
10	10	4	0.0139285714285714	GO:0006465	signal peptide processing	7.47831631613064e-26	2.36873115223117	0.113265306122449	GO:0008499	N-acetyl-beta-D-glucosaminide beta-(1,3)-galactosyltransferase activity	8.63985873132219e-17	2.20465112793173	8.13186813186815
12	9	3	0.0362755102040816	GO:0031123	RNA 3'-end processing	2.90123056821025e-19	2.25532080882575	0.294540816326531	GO:0042813	Wnt receptor activity	3.52839184979167e-11	1.90378738902664	8.11954992967653
7	15	6	0.0146938775510204	GO:0034472	snRNA 3'-end processing	2.42417611856591e-40	2.65105066730333	0.118469387755102	GO:0034087	establishment of mitotic sister chromatid cohesion	8.6969736769919e-27	2.48074100499002	8.0625
8	4	19	0.00650510204081633	GO:0046415	urate metabolic process	7.42241705584755e-11	1.75975438041409	0.0507908163265306	GO:0090136	epithelial cell-cell adhesion	2.66255124221058e-07	1.68053313924447	7.8078431372549
7	11	10	0.0113265306122449	GO:0097539	ciliary transition fiber	9.75890860747175e-30	2.43995098919246	0.0807397959183673	GO:0006002	fructose 6-phosphate metabolic process	2.2114339373497e-20	2.320756190308	7.12837837837837
7	7	16	0.00668367346938776	GO:0015820	L-leucine transport	1.17526635727098e-19	2.13609683384984	0.0471173469387755	GO:0061820	telomeric D-loop disassembly	9.81603688378153e-14	2.0634635130462	7.04961832061068
10	5	6	0.0126785714285714	GO:0005313	L-glutamate transmembrane transporter activity	2.70136039028281e-12	1.89666592795964	0.0891836734693878	GO:1903238	positive regulation of leukocyte tethering or rolling	4.3651917900704e-08	1.76674853465019	7.03420523138835
6	15	18	0.0145408163265306	GO:0010032	meiotic chromosome condensation	2.07022344385909e-40	2.65133404877248	0.096530612244898	GO:0030892	mitotic cohesin complex	4.08840195496268e-28	2.51354558253132	6.63859649122808
9	8	9	0.00880102040816326	GO:0005222	intracellularly cAMP-activated cation channel activity	8.85821721021864e-22	2.2238293690635	0.0571683673469388	GO:0006646	phosphatidylethanolamine biosynthetic process	2.68945059445556e-15	2.13821190382263	6.49565217391305
7	10	9	0.0131632653061225	GO:1903706	regulation of hemopoiesis	4.25281549907741e-26	2.37015196718815	0.0852551020408163	GO:0071051	poly(A)-dependent snoRNA 3'-end processing	5.17358781140647e-18	2.24726690597085	6.47674418604648
8	16	5	0.0241836734693878	GO:0015937	coenzyme A biosynthetic process	6.3951700960204e-40	2.67914919023758	0.155229591836735	GO:0071028	nuclear mRNA surveillance	4.69395671235652e-27	2.47436695395782	6.41877637130802
9	4	12	0.015765306122449	GO:0035773	insulin secretion involved in cellular response to glucose stimulus	2.54168896101927e-09	1.74245436385331	0.100051020408163	GO:0030850	prostate gland development	3.85453381501735e-06	1.60156432241857	6.34627831715208
9	7	13	0.0108673469387755	GO:0050915	sensory perception of sour taste	3.51807282118403e-18	2.12823308983604	0.0688775510204082	GO:0016126	sterol biosynthetic process	1.37388982894756e-12	2.02720469881416	6.33802816901409
7	8	9	0.00897959183673469	GO:0032395	MHC class II receptor activity	1.04007808038899e-21	2.22349382513991	0.0542857142857143	GO:0006729	tetrahydrobiopterin biosynthetic process	1.78243554270929e-15	2.14303956078946	6.04545454545455
6	12	9	0.00704081632653061	GO:0047238	glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity	3.07834079548726e-35	2.50877896719307	0.0425	GO:0035999	tetrahydrofolate interconversion	6.97099036329712e-26	2.44475425869014	6.03623188405797
9	12	2	0.0129081632653061	GO:0007210	serotonin receptor signaling pathway	4.41430055743234e-32	2.49778478911772	0.0751275510204082	GO:0046655	folic acid metabolic process	6.2971259565913e-23	2.39047542215123	5.82015810276681
8	28	10	0.0375	GO:0010968	regulation of microtubule nucleation	3.73635928550609e-70	3.05204123140991	0.212244897959184	GO:0034475	U4 snRNA 3'-end processing	3.75946156592261e-49	2.79725715408063	5.65986394557824
7	12	5	0.0089030612244898	GO:0071569	protein ufmylation	5.13530590392026e-34	2.50527132537779	0.0456632653061225	GO:0098911	regulation of ventricular cardiac muscle cell action potential	1.64498932735649e-25	2.43930943782236	5.12893982808023
6	7	13	0.0064030612244898	GO:0001188	RNA polymerase I preinitiation complex assembly	8.7066270269002e-20	2.13662736058287	0.0318112244897959	GO:0030023	extracellular matrix constituent conferring elasticity	6.36130668932788e-15	2.09010582926686	4.96812749003983
11	8	2	0.0233673469387755	GO:0015670	carbon dioxide transport	2.15941036807361e-18	2.19695894339241	0.10640306122449	GO:0039706	co-receptor binding	3.70732853369798e-13	2.06038598472923	4.55349344978167
10	18	3	0.021734693877551	GO:0000164	protein phosphatase type 1 complex	1.7925871565492e-46	2.76671293756026	0.0967602040816326	GO:0010248	establishment or maintenance of transmembrane electrochemical gradient	7.87762509294592e-35	2.64177335817343	4.4518779342723
8	8	8	0.0134438775510204	GO:0031419	cobalamin binding	2.61508844456397e-20	2.21515555626167	0.0597959183673469	GO:0000076	DNA replication checkpoint signaling	3.84393380650882e-15	2.13383944408474	4.44781783681214
8	21	5	0.0256377551020408	GO:1905820	positive regulation of chromosome separation	7.37068782842246e-54	2.86874111311825	0.109311224489796	GO:0042627	chylomicron	1.14368270749473e-40	2.73192308513469	4.26368159203981
11	5	2	0.022780612244898	GO:0035194	regulatory ncRNA-mediated post-transcriptional gene silencing	5.01652953532366e-11	1.87810994419981	0.0905867346938776	GO:0009058	biosynthetic process	4.71403585584975e-08	1.76457144771629	3.97648376259798
10	9	4	0.0203571428571429	GO:1990817	poly(A) RNA polymerase activity	1.62454680251662e-21	2.28379514777333	0.0778826530612245	GO:0048846	axon extension involved in axon guidance	2.7087742413095e-16	2.1858047525205	3.82581453634084
7	16	5	0.0238010204081633	GO:0042797	tRNA transcription by RNA polymerase III	4.9565717693264e-40	2.67984099763734	0.0910204081632653	GO:0034366	spherical high-density lipoprotein particle	9.73648114653495e-31	2.56747898052451	3.82422293676312
9	10	8	0.0206632653061225	GO:0051693	actin filament capping	3.8376820924117e-24	2.3563471996567	0.0787755102040816	GO:1904153	negative regulation of retrograde protein transport, ER to cytosol	2.36078760481542e-18	2.25749438794268	3.81234567901234
7	14	2	0.0215051020408163	GO:0170014	ankyrin-1 complex	5.08693554135718e-35	2.59003935793154	0.0806122448979592	GO:0036513	Derlin-1 retrotranslocation complex	5.2063801970466e-27	2.48980581241286	3.7485172004745
11	3	4	0.0179591836734694	GO:0060287	epithelial cilium movement involved in determination of left/right asymmetry	9.52492301559796e-07	1.55121806412821	0.0658163265306123	GO:0140318	protein transporter activity	4.52321591001554e-05	1.46831896950129	3.66477272727273
6	8	11	0.012984693877551	GO:0072378	blood coagulation, fibrin clot formation	1.98116640820627e-20	2.21600877329951	0.0473724489795918	GO:0005757	mitochondrial permeability transition pore complex	6.03119479695066e-16	2.15475077671743	3.6483300589391
10	11	2	0.0313520408163265	GO:0031054	pre-miRNA processing	7.00306507747997e-25	2.40349629758955	0.104795918367347	GO:0036465	synaptic vesicle recycling	3.81001602262784e-19	2.2836509252178	3.34255492270139
10	6	8	0.0153061224489796	GO:0004016	adenylate cyclase activity	1.76263196629763e-14	2.01487367169703	0.0510459183673469	GO:0032754	positive regulation of interleukin-5 production	2.35201642840903e-11	1.95167225363722	3.335
9	36	5	0.0818622448979592	GO:0097504	Gemini of Cajal bodies	1.84044961436384e-81	3.15752210733036	0.268571428571429	GO:0101019	nucleolar exosome (RNase complex)	5.74088562342803e-63	2.91035157946354	3.28077282642568
8	15	2	0.0205102040816327	GO:0031720	haptoglobin binding	3.58673819981088e-38	2.64036384190705	0.0649489795918367	GO:0006625	protein targeting to peroxisome	1.11082204547428e-30	2.56355318728121	3.16666666666666
10	8	4	0.0203316326530612	GO:0004117	calmodulin-activated dual specificity 3',5'-cyclic-GMP, 3',5'-cyclic-AMP phosphodiesterase activity	7.11229210282582e-19	2.20247694381143	0.0610459183673469	GO:1900153	positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	4.53079493628808e-15	2.13176860875786	3.00250941028858
10	22	3	0.0355357142857143	GO:0005833	hemoglobin complex	1.11970341778588e-53	2.8841180691892	0.106377551020408	GO:0000930	gamma-tubulin complex	3.13146014284101e-43	2.76928750433319	2.99353912419238
10	21	2	0.0454591836734694	GO:0005858	axonemal dynein complex	1.2102245087806e-48	2.83390742648941	0.133010204081633	GO:0035721	intraciliary retrograde transport	6.8882298013219e-39	2.69746156698819	2.92592592592593
7	20	4	0.0417091836734694	GO:0001614	purinergic nucleotide receptor activity	1.00289815772984e-46	2.80580767689779	0.118239795918367	GO:0030893	meiotic cohesin complex	1.04769855187448e-37	2.68418352207542	2.83486238532109
12	10	3	0.0165051020408163	GO:0005231	excitatory extracellular ligand-gated monoatomic ion channel activity	4.07289374025296e-25	2.36396820879574	0.0459183673469388	GO:0044548	S100 protein binding	1.1014767420319e-20	2.31171353060816	2.78207109737249
10	17	3	0.032015306122449	GO:1902554	serine/threonine protein kinase complex	1.06385068412946e-40	2.70789305922338	0.0863010204081633	GO:0004535	poly(A)-specific ribonuclease activity	2.11742947363168e-33	2.61758034196505	2.69561752988048
7	21	9	0.0211479591836735	GO:1905821	positive regulation of chromosome condensation	1.2975060170996e-55	2.87687061989519	0.0568112244897959	GO:0140596	TOM complex	1.28854751393239e-46	2.81468993227393	2.68636911942098
11	4	4	0.0276020408163265	GO:2001256	regulation of store-operated calcium entry	2.36574548944872e-08	1.72092831321906	0.0738265306122449	GO:0090162	establishment of epithelial cell polarity	1.16686423221024e-06	1.64252657706554	2.67467652495379
10	45	3	0.105688775510204	GO:0072546	EMC complex	9.06957777486453e-101	3.28032535858219	0.27844387755102	GO:1990877	FNIP-folliculin RagC/D GAP	6.52314129144935e-82	3.05884525027188	2.63456432536809
11	9	2	0.0354591836734694	GO:0008066	glutamate receptor activity	2.3655822270681e-19	2.2567540093875	0.0921173469387755	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	1.21148892364059e-15	2.16348088155711	2.5978417266187
13	18	3	0.0289030612244898	GO:0002098	tRNA wobble uridine modification	3.0113193738833e-44	2.75379567965066	0.07375	GO:0086009	membrane repolarization	6.06785095182067e-37	2.67784425039402	2.55163283318623
9	22	2	0.0611989795918367	GO:0015279	store-operated calcium channel activity	1.70680537700633e-48	2.84037873854581	0.153214285714286	GO:0008417	fucosyltransferase activity	9.16598077477375e-40	2.70231027599876	2.50354314297625
12	3	2	0.0331632653061225	GO:0010867	positive regulation of triglyceride biosynthetic process	5.92963021109735e-06	1.52383462569566	0.0828061224489796	GO:0001895	retina homeostasis	8.89447883386339e-05	1.44103942010645	2.49692307692307
8	13	3	0.0256122448979592	GO:0000828	inositol hexakisphosphate kinase activity	3.20044944225512e-31	2.53059428141245	0.0626530612244898	GO:0180010	co-transcriptional mRNA 3'-end processing, cleavage and polyadenylation pathway	3.47301761449067e-26	2.46680370982776	2.44621513944223
8	9	9	0.0153316326530612	GO:0086011	membrane repolarization during action potential	1.27215617627329e-22	2.29302320060314	0.0374234693877551	GO:0004970	glutamate-gated receptor activity	3.83626284229719e-19	2.25331017613746	2.44093178036606
8	11	6	0.0160969387755102	GO:0005952	cAMP-dependent protein kinase complex	4.64101084437539e-28	2.43109824567313	0.0385459183673469	GO:0042276	error-prone translesion synthesis	6.74937090240846e-24	2.39083760305893	2.3946117274168
10	15	3	0.084515306122449	GO:0009083	branched-chain amino acid catabolic process	5.66403312491086e-29	2.53216484139186	0.197091836734694	GO:0030049	muscle filament sliding	1.67229560078496e-23	2.37409792087128	2.33202535466345
9	11	3	0.0244642857142857	GO:1903028	positive regulation of opsonization	4.60218079496016e-26	2.41582810548595	0.0550255102040816	GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	3.33539425894628e-22	2.36265024420164	2.24921793534932
8	12	3	0.0332142857142857	GO:0060396	growth hormone receptor signaling pathway	3.64962360186719e-27	2.46097902184873	0.0700255102040816	GO:0045252	oxoglutarate dehydrogenase complex	2.72064263864205e-23	2.3986983384439	2.10829493087558
6	9	6	0.0227295918367347	GO:0005577	fibrinogen complex	4.37198251508461e-21	2.27947943999838	0.0467857142857143	GO:0072559	NLRP3 inflammasome complex	2.83774484352635e-18	2.23711827646553	2.05836139169473
