sum_kt_log_kt	run_time	ne_log_ne
1825.61913317543	0.00399999999990541	6545.07314256167
3365.51225955406	0.00500000000010914	12072.8204259753
5104.42811731754	0.00799999999981083	17375.7612718811
7003.08461213781	0.00999999999930878	21929.9110170704
8153.83468773329	0.0109999999995125	25265.1078486734
10108.3442937684	0.01299999999992	29920.6565131565
11974.5373262188	0.0149999999994179	32674.6860312548
13581.9607943484	0.0159999999996217	35095.9885004407
15479.772988655	0.0180000000000291	38163.9582245149
16952.5781743535	0.0189999999993233	40667.6294194315
18699.7562588255	0.0200000000004366	42852.5256205026
20389.0009493766	0.0219999999999345	45000.1114238712
22139.5980795997	0.0230000000001382	46859.5620509089
24039.9684884506	0.0249999999996362	48571.7412772835
25638.6053754295	0.0259999999998399	50125.2548653118
