term1	term2	observed_edges	p_value	lambda	log2_anscombe
GO:1990071	GO:1990072	97	5.88424057510259e-259	0.0803571428571429	3.87020454907389
GO:0006901	GO:1990072	93	5.0644487048701e-250	0.0739285714285714	3.85020330510053
GO:0005940	GO:0031105	73	0	0	3.80612709619445
GO:0005940	GO:0032153	73	0	0	3.80612709619445
GO:0031105	GO:0032153	73	0	0	3.80612709619445
GO:0006901	GO:1990071	57	0	0	3.62869392134633
GO:0001401	GO:0140275	55	0	0	3.60310019391693
GO:0001401	GO:0061617	56	1.19548317921851e-196	0.00688775510204082	3.60288152809977
GO:0061617	GO:0140275	56	1.19548317921851e-196	0.00688775510204082	3.60288152809977
GO:0000177	GO:0101019	54	0	0	3.58995454500747
GO:0001682	GO:0030681	53	0	0	3.57656487944967
GO:0001682	GO:0004526	53	0	0	3.57656487944967
GO:0001682	GO:0033204	53	0	0	3.57656487944967
GO:0000177	GO:0034475	52	0	0	3.5629219664891
GO:0000172	GO:0001682	50	0	0	3.53483676390341
GO:0000172	GO:0004526	50	1.61243445540146e-172	0.00714285714285714	3.52122602953589
GO:0005940	GO:0097227	49	2.6519988767024e-193	0.00224489795918367	3.51606777438358
GO:0031105	GO:0097227	49	2.6519988767024e-193	0.00224489795918367	3.51606777438358
GO:0032153	GO:0097227	49	2.6519988767024e-193	0.00224489795918367	3.51606777438358
GO:0004579	GO:0008250	47	0	0	3.49054576872497
GO:0005940	GO:0048668	1	0.249480612840912	0.286989795918367	0.527275367197312
GO:0031105	GO:0048668	1	0.249480612840912	0.286989795918367	0.527275367197312
GO:0032153	GO:0048668	1	0.249480612840912	0.286989795918367	0.527275367197312
GO:0034475	GO:0060213	1	0.253376231647527	0.29219387755102	0.521626831726038
GO:0101019	GO:1900153	1	0.255202460907175	0.294642857142857	0.51898392509951
GO:0071679	GO:1901524	1	0.260088348514498	0.301224489795918	0.5119287242254
GO:0015279	GO:0042813	1	0.260692111558491	0.302040816326531	0.511058451134837
GO:0034058	GO:0045040	1	0.260786405020316	0.302168367346939	0.510922565758068
GO:0008090	GO:0036038	1	0.274073219427275	0.32030612244898	0.491855710215442
GO:0007033	GO:0042813	1	0.275627111335427	0.322448979591837	0.489636015016904
GO:0035542	GO:0045040	1	0.277933294957966	0.325637755102041	0.486345490560687
GO:0060213	GO:0101019	1	0.278246368240376	0.326071428571429	0.485899136501728
GO:0000177	GO:0030299	1	0.282615168013585	0.332142857142857	0.479679007751327
GO:0000177	GO:0032680	1	0.286011022974986	0.336887755102041	0.474854963640731
GO:0030123	GO:0045040	1	0.28844753276477	0.34030612244898	0.471399461814622
GO:0030897	GO:0045040	1	0.290531936385234	0.343239795918367	0.468447061043919
GO:0005940	GO:0051412	1	0.294052414477366	0.348214285714286	0.463468268905138
GO:0031105	GO:0051412	1	0.294052414477366	0.348214285714286	0.463468268905138
GO:0032153	GO:0051412	1	0.294052414477366	0.348214285714286	0.463468268905138
GO:0000177	GO:1900153	1	0.299434453764047	0.355867346938776	0.4558750669978
GO:0000177	GO:0060213	1	0.325528953827497	0.393826530612245	0.419350796067122
