threshold	order	size
519	18711	506493
520	18702	504162
521	18694	501711
522	18690	499303
523	18671	496899
524	18666	494641
525	18659	492536
526	18645	490348
527	18634	487905
528	18628	485745
529	18621	483602
530	18614	481357
531	18603	479181
532	18593	477071
533	18581	474890
534	18570	472895
535	18557	470808
536	18550	468679
537	18540	466799
538	18525	464879
539	18516	462945
540	18511	461014
541	18489	457492
542	18476	455164
543	18455	453021
544	18442	450643
545	18429	448291
546	18415	446078
547	18405	444146
548	18389	442058
549	18382	440069
550	18372	438007
551	18358	436038
552	18349	434066
553	18344	432202
554	18336	430342
555	18325	428421
556	18314	426601
557	18308	424835
558	18301	423159
559	18292	421369
560	18283	419593
561	18269	417714
562	18259	416060
563	18251	414354
564	18244	412661
565	18234	410932
566	18229	409270
567	18218	407717
568	18203	406169
569	18196	404570
570	18181	403039
571	18161	401233
572	18135	399160
573	18119	397443
574	18103	395782
575	18088	394125
576	18074	392388
577	18054	390803
578	18048	389181
579	18031	387587
580	18022	385982
581	18008	384038
582	17988	382140
583	17970	380356
584	17952	378604
585	17936	376930
586	17920	375464
587	17913	374003
588	17903	372442
589	17891	370808
590	17878	369284
591	17859	367796
592	17832	366026
593	17820	364580
594	17807	363034
595	17782	361374
596	17766	359887
597	17751	358369
598	17741	356937
599	17729	355449
600	17713	353878
601	17696	352427
602	17679	351037
603	17664	349497
604	17651	348015
605	17637	346561
606	17614	345149
607	17590	343700
608	17579	342295
609	17555	340828
610	17531	339311
611	17510	337850
612	17493	336568
613	17479	335202
614	17466	333864
615	17453	332588
616	17433	331369
617	17422	330127
618	17411	328944
619	17395	327656
620	17381	326410
621	17356	325079
622	17336	323655
623	17321	322323
624	17304	321048
625	17290	319750
626	17268	318550
627	17253	317186
628	17238	315961
629	17214	314721
630	17195	313531
631	17179	312265
632	17161	311071
633	17146	309973
634	17132	308858
635	17117	307718
636	17110	306599
637	17093	305471
638	17078	304390
639	17068	303293
640	17046	302180
641	17039	301109
642	17017	300032
643	17005	298996
644	16992	297823
645	16975	296718
646	16963	295652
647	16947	294553
648	16934	293497
649	16924	292506
650	16909	291440
651	16888	287650
652	16865	286432
653	16849	285176
654	16837	284056
655	16820	282791
656	16793	281494
657	16781	280317
658	16763	279293
659	16743	278106
660	16730	276866
661	16716	275662
662	16705	274497
663	16688	273370
664	16677	272178
665	16654	270991
666	16636	269887
667	16621	268739
668	16606	267613
669	16589	266436
670	16573	265286
671	16551	263490
672	16535	262343
673	16513	261244
674	16505	260145
675	16495	259073
676	16474	258021
677	16461	256997
678	16447	255908
679	16428	254330
680	16412	252895
681	16394	251890
682	16383	250846
683	16369	249528
684	16353	248446
685	16338	247354
686	16328	246264
687	16265	245207
